Notes,Year,Year Code,Month,Month Code,State,State Code,County,County Code,Births,Average Age of Mother,Average LMP Gestational Age
,2003.0,2003.0,January,1.0,Alabama,1.0,"Baldwin County, AL",1003.0,131.0,26.77,37.97
,2003.0,2003.0,January,1.0,Alabama,1.0,"Calhoun County, AL",1015.0,124.0,25.32,38.63
,2003.0,2003.0,January,1.0,Alabama,1.0,"Etowah County, AL",1055.0,102.0,25.02,38.35
,2003.0,2003.0,January,1.0,Alabama,1.0,"Jefferson County, AL",1073.0,749.0,26.46,38.34
,2003.0,2003.0,January,1.0,Alabama,1.0,"Lee County, AL",1081.0,135.0,27.73,39.13
,2003.0,2003.0,January,1.0,Alabama,1.0,"Madison County, AL",1089.0,285.0,27.07,38.29
,2003.0,2003.0,January,1.0,Alabama,1.0,"Mobile County, AL",1097.0,488.0,25.65,38.45
,2003.0,2003.0,January,1.0,Alabama,1.0,"Montgomery County, AL",1101.0,296.0,25.75,38.31
,2003.0,2003.0,January,1.0,Alabama,1.0,"Morgan County, AL",1103.0,105.0,26.0,37.96
,2003.0,2003.0,January,1.0,Alabama,1.0,"Shelby County, AL",1117.0,167.0,28.86,38.59
,2003.0,2003.0,January,1.0,Alabama,1.0,"Tuscaloosa County, AL",1125.0,168.0,26.19,37.98
,2003.0,2003.0,January,1.0,Alabama,1.0,"Unidentified Counties, AL",1999.0,2116.0,25.23,38.33
Total,2003.0,2003.0,January,1.0,Alabama,1.0,,,4866.0,25.89,38.35
,2003.0,2003.0,January,1.0,Alaska,2.0,"Anchorage Borough, AK",2020.0,368.0,27.49,38.67
,2003.0,2003.0,January,1.0,Alaska,2.0,"Unidentified Counties, AK",2999.0,463.0,26.76,38.79
Total,2003.0,2003.0,January,1.0,Alaska,2.0,,,831.0,27.08,38.73
,2003.0,2003.0,January,1.0,Arizona,4.0,"Cochise County, AZ",4003.0,119.0,24.85,38.63
,2003.0,2003.0,January,1.0,Arizona,4.0,"Coconino County, AZ",4005.0,169.0,26.71,39.07
,2003.0,2003.0,January,1.0,Arizona,4.0,"Maricopa County, AZ",4013.0,4993.0,26.77,38.58
,2003.0,2003.0,January,1.0,Arizona,4.0,"Mohave County, AZ",4015.0,163.0,25.58,38.46
,2003.0,2003.0,January,1.0,Arizona,4.0,"Pima County, AZ",4019.0,1042.0,26.17,38.6
,2003.0,2003.0,January,1.0,Arizona,4.0,"Pinal County, AZ",4021.0,243.0,24.64,38.56
,2003.0,2003.0,January,1.0,Arizona,4.0,"Yavapai County, AZ",4025.0,143.0,25.79,38.78
,2003.0,2003.0,January,1.0,Arizona,4.0,"Yuma County, AZ",4027.0,276.0,25.41,38.78
,2003.0,2003.0,January,1.0,Arizona,4.0,"Unidentified Counties, AZ",4999.0,396.0,26.04,38.77
Total,2003.0,2003.0,January,1.0,Arizona,4.0,,,7544.0,26.45,38.61
,2003.0,2003.0,January,1.0,Arkansas,5.0,"Benton County, AR",5007.0,206.0,25.96,38.71
,2003.0,2003.0,January,1.0,Arkansas,5.0,"Pulaski County, AR",5119.0,512.0,26.07,38.58
,2003.0,2003.0,January,1.0,Arkansas,5.0,"Sebastian County, AR",5131.0,135.0,25.85,38.34
,2003.0,2003.0,January,1.0,Arkansas,5.0,"Washington County, AR",5143.0,243.0,26.01,38.88
,2003.0,2003.0,January,1.0,Arkansas,5.0,"Unidentified Counties, AR",5999.0,1969.0,24.94,38.62
Total,2003.0,2003.0,January,1.0,Arkansas,5.0,,,3065.0,25.32,38.63
,2003.0,2003.0,January,1.0,California,6.0,"Alameda County, CA",6001.0,1777.0,29.17,38.89
,2003.0,2003.0,January,1.0,California,6.0,"Butte County, CA",6007.0,185.0,26.44,38.78
,2003.0,2003.0,January,1.0,California,6.0,"Contra Costa County, CA",6013.0,1011.0,29.59,39.05
,2003.0,2003.0,January,1.0,California,6.0,"El Dorado County, CA",6017.0,143.0,28.99,38.96
,2003.0,2003.0,January,1.0,California,6.0,"Fresno County, CA",6019.0,1278.0,26.33,38.75
,2003.0,2003.0,January,1.0,California,6.0,"Humboldt County, CA",6023.0,100.0,26.28,39.41
,2003.0,2003.0,January,1.0,California,6.0,"Imperial County, CA",6025.0,253.0,25.44,38.89
,2003.0,2003.0,January,1.0,California,6.0,"Kern County, CA",6029.0,1084.0,26.01,38.95
,2003.0,2003.0,January,1.0,California,6.0,"Kings County, CA",6031.0,180.0,25.39,39.02
,2003.0,2003.0,January,1.0,California,6.0,"Los Angeles County, CA",6037.0,12499.0,28.14,38.82
,2003.0,2003.0,January,1.0,California,6.0,"Madera County, CA",6039.0,163.0,26.31,39.23
,2003.0,2003.0,January,1.0,California,6.0,"Marin County, CA",6041.0,221.0,33.36,38.81
,2003.0,2003.0,January,1.0,California,6.0,"Merced County, CA",6047.0,363.0,25.45,38.38
