"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"County"	"County Code"	Births	Average Age of Mother	Average LMP Gestational Age
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	131	26.77	37.97
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	124	25.32	38.63
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Etowah County, AL"	"01055"	102	25.02	38.35
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	749	26.46	38.34
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Lee County, AL"	"01081"	135	27.73	39.13
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Madison County, AL"	"01089"	285	27.07	38.29
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Mobile County, AL"	"01097"	488	25.65	38.45
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	296	25.75	38.31
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Morgan County, AL"	"01103"	105	26.00	37.96
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Shelby County, AL"	"01117"	167	28.86	38.59
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	168	26.19	37.98
	"2003"	"2003"	"January"	"1"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	2116	25.23	38.33
"Total"	"2003"	"2003"	"January"	"1"	"Alabama"	"01"			4866	25.89	38.35
	"2003"	"2003"	"January"	"1"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	368	27.49	38.67
	"2003"	"2003"	"January"	"1"	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	463	26.76	38.79
"Total"	"2003"	"2003"	"January"	"1"	"Alaska"	"02"			831	27.08	38.73
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	119	24.85	38.63
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Coconino County, AZ"	"04005"	169	26.71	39.07
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	4993	26.77	38.58
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	163	25.58	38.46
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Pima County, AZ"	"04019"	1042	26.17	38.60
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	243	24.64	38.56
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	143	25.79	38.78
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	276	25.41	38.78
	"2003"	"2003"	"January"	"1"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	396	26.04	38.77
"Total"	"2003"	"2003"	"January"	"1"	"Arizona"	"04"			7544	26.45	38.61
	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"	"Benton County, AR"	"05007"	206	25.96	38.71
	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	512	26.07	38.58
	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	135	25.85	38.34
	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"	"Washington County, AR"	"05143"	243	26.01	38.88
	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	1969	24.94	38.62
"Total"	"2003"	"2003"	"January"	"1"	"Arkansas"	"05"			3065	25.32	38.63
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Alameda County, CA"	"06001"	1777	29.17	38.89
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Butte County, CA"	"06007"	185	26.44	38.78
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Contra Costa County, CA"	"06013"	1011	29.59	39.05
	"2003"	"2003"	"January"	"1"	"California"	"06"	"El Dorado County, CA"	"06017"	143	28.99	38.96
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Fresno County, CA"	"06019"	1278	26.33	38.75
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Humboldt County, CA"	"06023"	100	26.28	39.41
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Imperial County, CA"	"06025"	253	25.44	38.89
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Kern County, CA"	"06029"	1084	26.01	38.95
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Kings County, CA"	"06031"	180	25.39	39.02
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Los Angeles County, CA"	"06037"	12499	28.14	38.82
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Madera County, CA"	"06039"	163	26.31	39.23
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Marin County, CA"	"06041"	221	33.36	38.81
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Merced County, CA"	"06047"	363	25.45	38.38
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Monterey County, CA"	"06053"	572	27.13	39.12
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Napa County, CA"	"06055"	142	29.26	39.49
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Orange County, CA"	"06059"	3827	28.99	38.81
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Placer County, CA"	"06061"	276	28.92	39.17
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Riverside County, CA"	"06065"	2261	26.99	38.73
	"2003"	"2003"	"January"	"1"	"California"	"06"	"Sacramento County, CA"	"06067"	1616	27.70	38.87
	"2003"	"2003"	"January"	"1"	"California"	"06"	"San Bernardino County, CA"	"06071"	2575	26.68	38.72
	"2003"	"2003"	"January"	"1"	"California"	"06"	"San Diego County, CA"	"06073"	3769	28.18	39.00
