"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"County"	"County Code"	Births	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	164	27.29	38.40	38.24
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	124	26.11	38.52	38.30
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Etowah County, AL"	"01055"	93	26.66	38.70	38.51
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Houston County, AL"	"01069"	122	26.69	37.94	37.86
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	712	28.28	38.17	38.09
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Lee County, AL"	"01081"	149	28.33	38.54	38.26
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Madison County, AL"	"01089"	362	28.77	38.14	37.96
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Mobile County, AL"	"01097"	512	27.73	38.04	37.94
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	291	27.62	38.04	37.84
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Morgan County, AL"	"01103"	112	25.73	38.28	38.15
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Shelby County, AL"	"01117"	161	29.11	38.63	38.75
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	186	26.87	38.36	38.38
	"2018"	"2018"	"January"	"1"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	1914	26.47	38.33	38.19
"Total"	"2018"	"2018"	"January"	"1"	"Alabama"	"01"			4902	27.27	38.27	38.14
	"2018"	"2018"	"January"	"1"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	318	28.78	38.44	38.32
	"2018"	"2018"	"January"	"1"	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	501	27.97	38.70	38.59
"Total"	"2018"	"2018"	"January"	"1"	"Alaska"	"02"			819	28.29	38.60	38.48
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	91	26.96	38.86	38.77
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Coconino County, AZ"	"04005"	118	28.53	39.06	38.72
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	4296	28.58	38.49	38.43
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	158	26.29	38.62	38.28
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	123	27.60	38.69	38.41
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Pima County, AZ"	"04019"	898	28.80	38.38	38.46
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	399	27.68	38.58	38.64
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	154	27.05	38.70	38.47
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	276	26.84	38.91	38.56
	"2018"	"2018"	"January"	"1"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	230	27.27	38.90	38.56
"Total"	"2018"	"2018"	"January"	"1"	"Arizona"	"04"			6743	28.31	38.54	38.46
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Benton County, AR"	"05007"	320	28.49	38.60	38.15
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	118	28.21	38.53	38.32
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	386	27.66	38.62	38.33
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Saline County, AR"	"05125"	111	28.11	38.72	38.41
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	113	26.85	38.65	38.47
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Washington County, AR"	"05143"	261	27.66	38.35	38.11
	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	1801	26.21	38.59	38.28
"Total"	"2018"	"2018"	"January"	"1"	"Arkansas"	"05"			3110	26.92	38.58	38.27
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Alameda County, CA"	"06001"	1507	31.50	38.80	38.66
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Butte County, CA"	"06007"	235	28.41	38.86	38.74
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Contra Costa County, CA"	"06013"	956	30.78	38.85	38.71
	"2018"	"2018"	"January"	"1"	"California"	"06"	"El Dorado County, CA"	"06017"	128	30.96	38.81	38.53
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Fresno County, CA"	"06019"	1192	28.09	38.46	38.39
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Humboldt County, CA"	"06023"	113	28.79	39.26	39.14
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Imperial County, CA"	"06025"	230	28.33	39.01	38.61
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Kern County, CA"	"06029"	1034	27.73	38.70	38.60
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Kings County, CA"	"06031"	194	28.23	38.60	38.46
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Los Angeles County, CA"	"06037"	9442	30.26	38.64	38.54
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Madera County, CA"	"06039"	162	27.73	38.68	38.71
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Marin County, CA"	"06041"	170	33.45	39.01	38.94
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Merced County, CA"	"06047"	307	27.79	38.72	38.56
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Monterey County, CA"	"06053"	486	28.34	38.70	38.58
	"2018"	"2018"	"January"	"1"	"California"	"06"	"Napa County, CA"	"06055"	91	30.55	38.81	38.66
